Method,Mode,Policy,Phase,Tolerance_ms,BaseSeed,F1,MAE_ms,AcceptedCoverage,MedAE_ms,RMSE_ms,OutlierRate1s,meta_F1_SD
Stack,Full3C,strict,S,100,43,0.5682974946970133,527.0167761497889,0.9373737373737374,73.33333333333354,1811.3002930416073,0.070093930329217,0.0017916585269588242
Stack,Full3C,strict,S,100,44,0.5525753619097644,486.9792718855219,0.9525252525252526,81.6666666666673,1639.2201187676535,0.07209896584896584,0.013083501929923927
Stack,Full3C,strict,S,200,42,0.675311682459884,480.48678393798457,0.9474747474747475,80.00000000000007,1614.63377416126,0.05758209292167862,0.0057105730632154225
Stack,Full3C,strict,S,200,43,0.6934323295104806,527.0167761497889,0.9373737373737374,73.33333333333354,1811.3002930416073,0.070093930329217,0.009357274482684794
Stack,Full3C,strict,S,200,44,0.6901309436353542,486.9792718855219,0.9525252525252526,81.6666666666673,1639.2201187676535,0.07209896584896584,0.0023424648848698513
Stack,Zonly,accepted,P,50,42,0.6768458748696129,145.35192866982055,0.9878787878787879,30.00000000000025,749.4043458798105,0.013286506700558939,0.00973618537296224
Stack,Zonly,accepted,P,50,43,0.6981334476772942,196.19265710431344,0.990909090909091,29.999999999999954,1212.5392840651486,0.015263250723373423,0.015820628055802803
Stack,Zonly,accepted,P,50,44,0.7079281981680066,193.35928666252386,0.991919191919192,29.999999999999655,1184.2295771123036,0.017298386082732868,0.011391871481962261
Stack,Zonly,accepted,P,100,42,0.8059024044131855,145.35192866982055,0.9878787878787879,30.00000000000025,749.4043458798105,0.013286506700558939,0.004080568418984966
Stack,Zonly,accepted,P,100,43,0.813798100160044,196.19265710431344,0.990909090909091,29.999999999999954,1212.5392840651486,0.015263250723373423,0.002445032391099051
Stack,Zonly,accepted,P,100,44,0.8204830830190356,193.35928666252386,0.991919191919192,29.999999999999655,1184.2295771123036,0.017298386082732868,0.002965409097964606
Stack,Zonly,accepted,P,200,42,0.8963377132377052,145.35192866982055,0.9878787878787879,30.00000000000025,749.4043458798105,0.013286506700558939,0.0032237871848181947
Stack,Zonly,accepted,P,200,43,0.907163517506098,196.19265710431344,0.990909090909091,29.999999999999954,1212.5392840651486,0.015263250723373423,0.0036460380272597772
Stack,Zonly,accepted,P,200,44,0.9087279473119702,193.35928666252386,0.991919191919192,29.999999999999655,1184.2295771123036,0.017298386082732868,0.0038112586593839416
Stack,Zonly,accepted,S,50,42,0.16913618467144934,1180.404688404399,0.9,246.66666666666674,2566.8119090675505,0.21608693255422948,0.01251340423912754
Stack,Zonly,accepted,S,50,43,0.1369130804111736,1332.6091179241864,0.9161616161616162,263.33333333333337,3084.788626475158,0.2289628180039139,0.015538946077087114
Stack,Zonly,accepted,S,50,44,0.15876626256176063,1005.8098549181933,0.9454545454545454,251.66666666666723,2299.36127109663,0.18066465893611358,0.024409193536275842
Stack,Zonly,accepted,S,100,42,0.28181916128507917,1180.404688404399,0.9,246.66666666666674,2566.8119090675505,0.21608693255422948,0.004192781572375181
Stack,Zonly,accepted,S,100,43,0.25192908240840645,1332.6091179241864,0.9161616161616162,263.33333333333337,3084.788626475158,0.2289628180039139,0.00496913300118506
Stack,Zonly,accepted,S,100,44,0.2720978543416283,1005.8098549181933,0.9454545454545454,251.66666666666723,2299.36127109663,0.18066465893611358,0.016052416549790647
