Method,Mode,BaseSeed,MetaSeed,Policy,Phase,Tolerance_ms,N,N_accepted,N_strict_detected,TP,FP,FN,Precision,Recall,F1,AcceptedCoverage,MAE_ms,MedAE_ms,RMSE_ms,OutlierRate1s
Stack,Full3C,42,42,strict,S,200,335,319,319,232,87,103,0.7272727272727273,0.6925373134328359,0.709480122324159,0.9522388059701492,600.2194357366772,60.0000000000005,2072.093954006906,0.07523510971786834
Stack,Full3C,42,43,accepted,P,50,335,334,334,248,86,87,0.7425149700598802,0.7402985074626866,0.7414050822122571,0.9970149253731343,68.35329341317355,19.999999999999574,294.31998147765296,0.0029940119760479044
Stack,Full3C,42,43,accepted,P,100,335,334,334,295,39,40,0.8832335329341318,0.8805970149253731,0.8819133034379671,0.9970149253731343,68.35329341317355,19.999999999999574,294.31998147765296,0.0029940119760479044
Stack,Full3C,42,43,accepted,P,200,335,334,334,313,21,22,0.937125748502994,0.9343283582089552,0.9357249626307922,0.9970149253731343,68.35329341317355,19.999999999999574,294.31998147765296,0.0029940119760479044
Stack,Full3C,42,43,accepted,S,50,335,331,324,149,182,186,0.4501510574018127,0.44477611940298506,0.44744744744744747,0.9880597014925373,691.3293051359517,70.00000000000028,2221.0513691245483,0.09365558912386707
Stack,Full3C,42,43,accepted,S,100,335,331,324,193,138,142,0.5830815709969789,0.5761194029850746,0.5795795795795796,0.9880597014925373,691.3293051359517,70.00000000000028,2221.0513691245483,0.09365558912386707
Stack,Full3C,42,43,accepted,S,200,335,331,324,236,95,99,0.7129909365558912,0.7044776119402985,0.7087087087087087,0.9880597014925373,691.3293051359517,70.00000000000028,2221.0513691245483,0.09365558912386707
Stack,Full3C,42,43,strict,P,50,335,334,334,248,86,87,0.7425149700598802,0.7402985074626866,0.7414050822122571,0.9970149253731343,68.35329341317355,19.999999999999574,294.31998147765296,0.0029940119760479044
Stack,Full3C,42,43,strict,P,100,335,334,334,295,39,40,0.8832335329341318,0.8805970149253731,0.8819133034379671,0.9970149253731343,68.35329341317355,19.999999999999574,294.31998147765296,0.0029940119760479044
Stack,Full3C,42,43,strict,P,200,335,334,334,313,21,22,0.937125748502994,0.9343283582089552,0.9357249626307922,0.9970149253731343,68.35329341317355,19.999999999999574,294.31998147765296,0.0029940119760479044
Stack,Full3C,42,43,strict,S,50,335,324,324,148,176,187,0.4567901234567901,0.4417910447761194,0.44916540212443096,0.9671641791044776,675.679012345679,70.00000000000028,2215.2773423893686,0.08950617283950617
Stack,Full3C,42,43,strict,S,100,335,324,324,192,132,143,0.5925925925925926,0.573134328358209,0.582701062215478,0.9671641791044776,675.679012345679,70.00000000000028,2215.2773423893686,0.08950617283950617
Stack,Full3C,42,43,strict,S,200,335,324,324,234,90,101,0.7222222222222222,0.6985074626865672,0.7101669195751138,0.9671641791044776,675.679012345679,70.00000000000028,2215.2773423893686,0.08950617283950617
Stack,Full3C,42,44,accepted,P,50,335,334,334,240,94,95,0.718562874251497,0.7164179104477612,0.7174887892376681,0.9970149253731343,72.69461077844302,19.999999999999574,297.8073564519289,0.0029940119760479044
Stack,Full3C,42,44,accepted,P,100,335,334,334,284,50,51,0.8502994011976048,0.8477611940298507,0.8490284005979073,0.9970149253731343,72.69461077844302,19.999999999999574,297.8073564519289,0.0029940119760479044
Stack,Full3C,42,44,accepted,P,200,335,334,334,308,26,27,0.9221556886227545,0.9194029850746268,0.9207772795216741,0.9970149253731343,72.69461077844302,19.999999999999574,297.8073564519289,0.0029940119760479044
Stack,Full3C,42,44,accepted,S,50,335,328,309,142,186,193,0.4329268292682927,0.42388059701492536,0.42835595776772245,0.9791044776119403,670.5182926829268,80.00000000000007,2266.6790336224085,0.08536585365853659
Stack,Full3C,42,44,accepted,S,100,335,328,309,185,143,150,0.5640243902439024,0.5522388059701493,0.5580693815987934,0.9791044776119403,670.5182926829268,80.00000000000007,2266.6790336224085,0.08536585365853659
Stack,Full3C,42,44,accepted,S,200,335,328,309,228,100,107,0.6951219512195121,0.6805970149253732,0.6877828054298643,0.9791044776119403,670.5182926829268,80.00000000000007,2266.6790336224085,0.08536585365853659
Stack,Full3C,42,44,strict,P,50,335,334,334,240,94,95,0.718562874251497,0.7164179104477612,0.7174887892376681,0.9970149253731343,72.69461077844302,19.999999999999574,297.8073564519289,0.0029940119760479044
Stack,Full3C,42,44,strict,P,100,335,334,334,284,50,51,0.8502994011976048,0.8477611940298507,0.8490284005979073,0.9970149253731343,72.69461077844302,19.999999999999574,297.8073564519289,0.0029940119760479044
